,American Falls,Boardman,Connell,Delhi,Park Rapids,Pasco,Richland
October,12.62,8.55,13.83,15.46,7.03,14.41,16.95
November,12.84,8.24,11.92,14.84,12.92,13.21,18.67
December,13.02,7.84,12.0,14.0,13.32,13.57,16.45
